artist,song,album_name,lyrics,word_count,char_count
Billie Eilish,SKINNY,HIT ME HARD AND SOFT,"Hmm, hmm
I fell in love for the first time
With a friend, it's a good sign
Feelin' off when I feel fine
Twenty-one took a lifetime
People say I look happy
Just because I got skinny
But the old me is still me and maybe the real me
And I think she's pretty
And I still cry
Cry
And you know why
Am I acting my age now?
Am I already on the way out?
When I step off the stage, I'm a bird in a cage
I'm a dog in a dog pound
And you said I was your secret
And you didn't get to keep it
And the internet is hungry for the meanest kind of funny
And somebody's gotta feed it
Oh, do you still cry?
Still cry
Cry
I nеver did you wrong (Never did you wrong)
And my (Oh), my patiеnce is gone (Is gone)
And I (I), I never did you wrong (You)
I, I loved you for so long (Hmm)",168,759
Billie Eilish,LUNCH,HIT ME HARD AND SOFT,"Oh, mm-mm
I could eat that girl for lunch
Yeah, she dances on my tongue
Tastes like she might be the one
And I could never get enough
I could buy her so much stuff
It's a craving, not a crush, huh
""Call me when you're there""
Said, ""I bought you somethin' rare
And I left it under 'Claire'""
So now, she's comin' up the stairs
So I'm pullin' up a chair
And I'm puttin' up my hair
Baby, I think you were made for me
Somebody write down the recipe
Been tryin' hard not to overeat
You're just so sweet
I'll run a shower for you like you want
Clothеs on the counter for you, try 'em on
If I'm allowеd, I'll help you take 'em off
Huh
I could eat that girl for lunch
Yeah, she dances on my tongue
Tastes like she might be the one
And I could never get enough
I could buy her so much stuff
It's a craving, not a crush, huh
Oh, I just wanna get her off, oh
Oh
Oh, oh
Oh
She's takin' pictures in the mirror
Oh, my God, her skin's so clear
Tell her, ""Bring that over here""
You need a seat? I'll volunteer
Now she's smilin' ear to ear
She's the headlights, I'm the deer
I've said it all before, but I'll say it again
I'm interested in more than just bein' your friend
I don't wanna break it, just want it to bend
Do you know how to bend?
I could eat that girl for lunch
She dances on my tongue
I know it's just a hunch
But she might be the one
I could
Eat that girl for lunch
Yeah, she
Tastes like she might be the one
I could
I could
Eat that girl for lunch
Yeah, she
Yeah, she
Tastes like she might be the one",313,1498
Billie Eilish,CHIHIRO,HIT ME HARD AND SOFT,"To take my love away
When I come back around, will I know what to say?
Said you won't forget my name
Not today, not tomorrow
Kinda strange, feelin' sorrow
I got change (Yup), you could borrow (Borrow, borrow, borrow)
When I come back around, will I know what to say?
Not today, maybe tomorrow
Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door?
Did you take
My love away
From me? Me
Me
Saw your seat at the counter when I looked away
Saw you turn around, but it wasn't your face
Said, ""I need to be alone now, I'm takin' a break""
How come when I rеturned, you were gonе away?
I don't, I don't know why I called
I don't know you at all
I don't know you
Not at all
I don't, I don't know why I called
I don't know you at all
I don't know you
Did you take
My love away
From me? Me
And that's when you found me
I was waitin' in the garden
Contemplatin', beg your pardon
But there's a part of me that recognizes you
Do you feel it too?
When you told me it was serious
Were you serious? Mm
They told me they were only curious
Now it's serious, mm
Open up the door, can you open up the door?
I know you said before you can't cope with any more
You told me it was war, said you'd show me what's in store
I hope it's not for sure, can you open up the door?
Wringing my hands in my lap
And they tell me it's all been a trap
And you don't know if you'll make it back
I said, ""No, don't say that""
(Wringing my hands in my lap)
(And you tell me it's all been a trap)
(And you don't know if you'll make it back)
(But I said, ""No, don't say that"")
(Wringing my hands in my lap)
(Tell me it's all been a trap)
(Don't know if you'll make it back)
(Don't say that)
Hm-hm",381,1806
Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,"(But I wanna stay)
I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby
Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better
And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die
I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid
And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
Don't wanna say goodbye
Birds of a feather, we should stick together, I know ('Til the day that I die)
I said I'd never think I wasn't better alone ('Til the light leaves my eyes)
Can't change the weather, might not be forever ('Til the day that I die)
But if it's forever, it's even better
I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised",298,1428
Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,"Things fall apart
And time breaks your heart
I wasn't there, but I know
She was your girl
You showed her the world
But fell out of love and you both let go
She was cryin’ on my shoulder
All I could do was hold her
Only made us closer until July
Now, I know that you love me
You don't need to remind me
I should put it all behind me, shouldn't I?
But I see her in the back of my mind all the time
Like a fever, like I’m burning alive, like a sign
Did I cross the line?
(Mm) Hmm
Well, good things don't last (Good things don't last)
And life moves so fast (Life moves so fast)
I'd never ask who was better (I'd never ask who was better)
'Cause she couldn't be (Couldn't)
More different from me (Different)
Happy and free in leather (Happy)
And I know that you love me (You love me)
You don’t need to remind me (Remind me)
Wanna put it all behind me, but baby
I see her in the back of my mind (Back of my mind) all the time (All the time)
Feels like a fever (Like a fever), like I’m burning alive (Burning alive), like a sign
Did I cross the line?
You say no one knows you so well (Oh)
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin’ in the hotel
I know you didn't mean to hurt me, so I kept it to myself
And I wonder
Do you see her in the back of your mind in my eyes?
You say no one knows you so well
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin' in the hotel
I know you didn’t mean to hurt me, so I kept it to myself",313,1482
Billie Eilish,THE GREATEST,HIT ME HARD AND SOFT,"I'm trying my best
To keep you satisfied
Let you get your rest
While I stayed up all night
And you don't wanna know
How alone I've been
Let you come and go
Whatever state I'm in, ah
Man, am I the greatest?
My congratulations
All my love and patience
All my admiration
All the times I waited
For you to want me naked
Made it all look painless
Man, am I the greatest?
Hm
Oh-oh, hm
Doing what's right
Without a reward
And we don't have to fight
When it's not worth fighting for (Fighting for), mm
And you don't wanna know (Know)
What I would've done (Done), hm
Anything at all
Worse than anyone
Mm, ooh
And man, am I the greatest? (Greatest)
My congratulations (Congratulations)
All my love and patience
All my admiration (Admiration)
All the times I waited (Waited)
For you to want me naked (Naked)
I made it all look painless
Man, am I the greatest?
The greatest
The greatest, ah-oh
I, I
I loved you
And I still do
Just wanted passion from you
Just wanted what I gave you
I waited
And waited (Oh)
Man, am I the greatest?
God, I hate it
All my love and patience
Unappreciated
You said your heart was jaded
You couldn't even break it
I shouldn't have to say it
You could've been the greatest",228,1188
Billie Eilish,L’AMOUR DE MA VIE,HIT ME HARD AND SOFT,"I wish you the best for the rest of your life
Felt sorry for you when I looked in your eyes
But I need to confess, I told you a lie
I said you
You were the love of my life
The love of my life
Did I break your heart?
Did I waste your time?
I tried to be there for you
Then you tried to break mine
It isn't asking for a lot for an apology
For making me feel like it'd kill you if I tried to leave
You said you'd never fall in love again because of me
Then you moved on immediately (Bum, bum, bum)
But I wish you the best for the rest of your life
Felt sorry for you when I looked in your eyes
But I need to confess, I told you a lie (Told you a lie)
When I said you (I said you)
You (You) were the love of my life
The love of my life
So you found her, now go fall in love (Go fall in love)
Just like we were if I ever was (If I ever was)
It's not my fault, I did what I could (Did what I could)
You made it so hard like I knew you would
Thought I was depressed or losing my mind
My stomach upset almost all of the time
But after I left, it was obvious why (Oh), mm
Because for you, you
I was the love of your life, mm
But you were not mine (But you were not mine)
It isn't asking for a lot for an apology
For making me feel like it'd kill you if I tried to leave
You said you'd never fall in love again because of me
Then you moved on, then you moved on
Then you moved on, then you moved on
Then you moved on, then you moved on
Ooh
You wanted to keep it
Like somethin' you found
'Til you didn't need it
But you should've seen it
The way it went down
Wouldn't believe it
Wanna know what I told her
With her hand on my shoulder?
You were so mediocre
And we're so glad it's over now
It's over now
It's over now
It's over now
Camera
Caught on camera
The girl's on camera
Your girl's a fan of—
You miss me
Say you miss me
It's such a pity
We're both so pretty",407,1852
Billie Eilish,THE DINER,HIT ME HARD AND SOFT,"Don't be afraid of me
I'm what you need
I saw you on the screens
I know we're meant to be
You're starrin' in my dreams
In magazines
You're lookin' right at me (You're lookin' right at me)
I'm here around the clock
I'm waitin' on your block (I'm waitin' on your block)
But please don't call the cops
They'll make me stop
And I just wanna talk (I just wanna talk)
Bet I could change your life
You could be my wife
Could get into a fight
I'll say, ""You're right""
And you'll kiss me goodnight
I waited on the corner 'til I saw the sitter leave
Was easy getting over and I landed on my feet
I came in through the kitchen lookin' for something to eat
I left a calling card so they would know that it was me
(Ah, ah, ah)
I tried to save you, but I failed
Two fifty thousand dollar bail (Two hundred fifty thousand dollar)
While I'm away, don't read my mail (Don't read my mail)
Just bring a veil (Just bring a veil)
And come visit me in jail (Visit me in jail)
I'll go back to the diner
I'll write another letter (I'll write another letter)
I hope you'll read it this time
You better
The cops around the corner stopped me when I tried to leave
They told me I was crazy and they knocked me off my feet (They told me I was crazy)
They came in through the kitchen lookin' for something discreet
I left a calling card so they would know that it was me
(Ah, ah, know that it was me)
I memorized your number, now I call you when I please
I tried to end it all, but now I'm back up on my feet
I saw you in the car with someone else and couldn't sleep
If somethin' happens to him, you can bet that it was me
3956
310-807-3956
310-807-3956",328,1623
Billie Eilish,BITTERSUITE,HIT ME HARD AND SOFT,"I can't fall in love with you
I've been overseas
I've been havin' dreams
You were in the foyer
I was on my knees
Outside of my body
Watchin' from above
I see the way you want me
I wanna be the one
But I gotta be careful
Gotta watch what I say
God, I hope it all goes away
'Cause I can't fall in love with you
No matter how bad I want to
Mm
Ah, uh, uh, uh
Ah, uh, uh
Mm
I don't need to breathe when you look at me, all I see is green
And I think that we're in between everything I've seen
In my dream, have it once a week, can't land on my feet
Can't sleep, have you underneath all of my beliefs
Keep it briеf
I'll wait in the suite
Keep me off my feet, mm
You seem so paranoid
I'm looking at thе boys
I've never filled the void
Out of spite
You seem so paralyzed
It's so romanticized
If this is how I die
That's alright
I've been overseas
I don't need to breathe when you look at me, all I see is green (I've been overseas)
And I think that we're in between everything I've seen
In my dream, have it once a week, can't land on my feet (I've been overseas)
Can't sleep, have you underneath all of my beliefs
Keep it brief
I'll see you in the suite
We can be discreet
But I've been overseas
And I've been havin' dreams
L'amour de ma vie
Love so bittersweet, mm
Open up the door for me, for me
'Cause I'm still on my knees
I'm stayin' off my feet
(Will you come with me?)
(Just want you to tell the truth)
(Come on now, ha)
(And I know it seems like something even bitter)
(Listen up, hm)
(I've watched you keep on doing better)
(It's someone I don't know)
(Pay close attention to it, right now)",329,1592
Billie Eilish,BLUE,HIT ME HARD AND SOFT,"Mm, mm, mm
I try to live in black and white, but I'm so blue
I'd like to mean it when I say I'm over you
But that's still not true (Blue)
And I'm still so blue, oh
I thought we were the same
Birds of a feather, now I'm ashamed
I told you a lie, désolée, mon amour
I'm tryin' my best, don't know what's in store
Open up the door (Blue)
In the back of my mind, I'm still overseas
A bird in a cage, thought you were made for me
I try (I'm not what) to live in black and white, but I'm so blue (But I'm not what you need)
I'd like (Not what you need) to mean it when I say I'm over you
But that's still not true, true
And I'm still so bluе (And it's not true)
I'm true blue, truе blue
I'm true blue
(Blue) Mm, mm, mm
Ah-ah
Ah-ah
Ah-ah
Ah-ah
You were born bluer than a butterfly
Beautiful and so deprived of oxygen
Colder than your father's eyes
He never learned to sympathize with anyone
I don't blame you
But I can't change you
Don't hate you (Don't hate you)
But we can't save you (But we can't save you)
You were born reachin' for your mother's hands
Victim of your father's plans to rule the world
Too afraid to step outside
Paranoid and petrified of what you've heard
But they could say the same 'bout me
I sleep 'bout three hours each night
Means only twenty-one a week now, now
And I could say the same 'bout you
Born blameless, grew up famous too
Just a baby born blue now, now
I don't blame you
But I can't change you
Don't hate you
But we can't save you
(Same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(Same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(Same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
(Same 'bout me)
(I sleep 'bout three hours each night)
(Means only twenty-one a week now)
Ooh-ooh
It's over now
It's over now
It's over now
(Ah-ah-ah, ah)
But when can I hear the next one?",383,1918
